site_name,floor,zone,day_type,hour_bucket,device_ping_count,unique_device_count,avg_dwell_minutes,repeat_visit_ratio,note
城心天街-地下美食街,B1,entrance,weekend,14-17,232,42,11.9,0.32,模拟设备信号
城心天街-中庭,1F,entrance,weekday,14-17,124,28,12.9,0.2,模拟设备信号
老城步行街-2F,2F,corridor,weekday,14-17,46,8,4.4,0.19,模拟设备信号
滨江写字楼-大堂,1F,exit,weekday,17-20,89,14,5.8,0.19,模拟设备信号
老城步行街-临街口,1F,exit,weekday,10-12,100,19,10.3,0.35,模拟设备信号
老城步行街-2F,2F,entrance,weekend,12-14,162,25,8.1,0.15,模拟设备信号
滨江写字楼-大堂,1F,exit,weekday,14-17,58,11,5.7,0.2,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekday,14-17,31,6,5.6,0.17,模拟设备信号
城心天街-中庭,1F,corridor,weekday,14-17,91,16,7.9,0.34,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekday,10-12,25,7,5.7,0.19,模拟设备信号
老城步行街-2F,2F,exit,weekday,20-22,48,8,5.5,0.21,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekday,10-12,62,14,7.0,0.23,模拟设备信号
高新园区-科技馆,1F,exit,weekday,12-14,34,9,3.5,0.17,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekday,14-17,143,33,13.5,0.24,模拟设备信号
老城步行街-2F,2F,entrance,weekday,20-22,72,11,6.2,0.21,模拟设备信号
老城步行街-临街口,1F,entrance,weekend,10-12,180,31,11.8,0.25,模拟设备信号
城心天街-中庭,1F,exit,weekday,17-20,145,28,10.4,0.24,模拟设备信号
城心天街-中庭,1F,atrium,weekend,10-12,145,29,9.3,0.24,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekday,17-20,64,9,3.7,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekend,17-20,50,12,5.7,0.18,模拟设备信号
高新园区-科技馆,1F,corridor,weekday,12-14,24,5,2.5,0.16,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekend,20-22,171,40,12.0,0.31,模拟设备信号
高新园区-科技馆,1F,exit,weekday,17-20,30,6,4.3,0.2,模拟设备信号
老城步行街-2F,2F,entrance,weekend,14-17,99,19,8.3,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekday,12-14,58,10,4.8,0.16,模拟设备信号
城心天街-地下美食街,B1,exit,weekend,17-20,254,48,10.5,0.3,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekend,12-14,124,33,6.8,0.23,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekend,14-17,125,21,7.3,0.13,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekend,17-20,46,9,4.4,0.22,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekend,10-12,162,41,11.5,0.35,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekend,17-20,76,16,3.9,0.16,模拟设备信号
老城步行街-临街口,1F,atrium,weekday,14-17,133,24,9.2,0.3,模拟设备信号
高新园区-科技馆,1F,atrium,weekend,14-17,29,6,3.9,0.22,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekday,17-20,31,8,4.5,0.15,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekend,12-14,105,16,5.0,0.23,模拟设备信号
城心天街-中庭,1F,corridor,weekend,14-17,101,25,7.2,0.29,模拟设备信号
城心天街-中庭,1F,exit,weekend,20-22,154,25,10.8,0.34,模拟设备信号
城心天街-地下美食街,B1,corridor,weekday,12-14,112,20,5.7,0.33,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekday,17-20,50,12,3.8,0.18,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekday,10-12,132,28,12.7,0.35,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekday,17-20,99,22,8.9,0.17,模拟设备信号
城心天街-地下美食街,B1,atrium,weekday,12-14,189,33,10.0,0.32,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekday,20-22,152,30,11.6,0.33,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekend,12-14,90,14,4.1,0.2,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekend,10-12,95,16,8.4,0.19,模拟设备信号
城心天街-地下美食街,B1,entrance,weekday,14-17,138,29,10.3,0.25,模拟设备信号
老城步行街-2F,2F,foodcourt,weekend,17-20,138,25,6.8,0.19,模拟设备信号
老城步行街-2F,2F,atrium,weekend,12-14,145,28,7.8,0.13,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekend,20-22,36,7,4.6,0.17,模拟设备信号
城心天街-地下美食街,B1,atrium,weekday,17-20,190,37,11.1,0.36,模拟设备信号
老城步行街-临街口,1F,entrance,weekday,14-17,147,22,12.7,0.31,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekday,17-20,22,5,3.1,0.19,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekend,12-14,54,10,5.0,0.17,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekday,10-12,28,5,4.8,0.14,模拟设备信号
城心天街-地下美食街,B1,corridor,weekend,12-14,179,31,7.4,0.29,模拟设备信号
高新园区-科技馆,1F,atrium,weekday,10-12,21,5,4.2,0.17,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekday,14-17,19,4,2.8,0.18,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekday,14-17,67,14,8.3,0.13,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekend,17-20,336,67,13.1,0.36,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekday,10-12,38,7,3.7,0.2,模拟设备信号
老城步行街-临街口,1F,atrium,weekday,12-14,192,39,12.1,0.2,模拟设备信号
老城步行街-临街口,1F,corridor,weekend,14-17,136,21,7.9,0.31,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekday,10-12,139,30,13.5,0.34,模拟设备信号
城心天街-中庭,1F,foodcourt,weekday,10-12,135,25,13.3,0.29,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekday,12-14,90,21,6.7,0.14,模拟设备信号
城心天街-中庭,1F,foodcourt,weekend,17-20,268,54,14.2,0.31,模拟设备信号
老城步行街-临街口,1F,foodcourt,weekday,12-14,219,34,11.3,0.32,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekday,12-14,39,8,5.2,0.16,模拟设备信号
老城步行街-临街口,1F,entrance,weekend,17-20,291,65,13.2,0.27,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekday,10-12,60,10,7.2,0.21,模拟设备信号
滨江写字楼-大堂,1F,corridor,weekend,14-17,66,10,4.1,0.19,模拟设备信号
老城步行街-临街口,1F,exit,weekend,17-20,240,38,9.0,0.21,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekday,14-17,33,6,5.3,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekday,17-20,106,24,8.6,0.2,模拟设备信号
滨江写字楼-大堂,1F,exit,weekday,20-22,49,12,5.5,0.22,模拟设备信号
老城步行街-2F,2F,corridor,weekend,20-22,57,13,4.4,0.21,模拟设备信号
高新园区-科技馆,1F,corridor,weekend,10-12,20,4,3.3,0.22,模拟设备信号
老城步行街-2F,2F,entrance,weekday,14-17,64,14,6.3,0.21,模拟设备信号
城心天街-中庭,1F,atrium,weekend,14-17,214,39,10.9,0.31,模拟设备信号
高新园区-科技馆,1F,corridor,weekend,17-20,28,6,2.6,0.15,模拟设备信号
高新园区-科技馆,1F,atrium,weekday,17-20,37,9,4.5,0.14,模拟设备信号
老城步行街-临街口,1F,atrium,weekend,12-14,235,56,12.3,0.36,模拟设备信号
老城步行街-2F,2F,exit,weekday,12-14,71,15,5.3,0.14,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekend,17-20,163,33,6.4,0.17,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekend,12-14,53,11,5.4,0.15,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekend,14-17,124,27,6.7,0.13,模拟设备信号
老城步行街-2F,2F,exit,weekend,14-17,95,19,5.0,0.22,模拟设备信号
高新园区-科技馆,1F,corridor,weekday,20-22,19,3,2.6,0.14,模拟设备信号
城心天街-中庭,1F,corridor,weekend,12-14,187,33,5.8,0.26,模拟设备信号
城心天街-中庭,1F,exit,weekend,10-12,159,23,8.4,0.31,模拟设备信号
城心天街-中庭,1F,atrium,weekday,14-17,112,27,9.5,0.26,模拟设备信号
城心天街-中庭,1F,corridor,weekend,10-12,102,18,8.0,0.28,模拟设备信号
老城步行街-2F,2F,foodcourt,weekday,20-22,75,13,8.1,0.18,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekday,12-14,24,6,3.1,0.18,模拟设备信号
高新园区-科技馆,1F,entrance,weekend,20-22,29,7,4.6,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekday,20-22,63,14,6.8,0.21,模拟设备信号
高新园区-科技馆,1F,atrium,weekend,20-22,29,7,5.0,0.2,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekend,17-20,51,10,4.9,0.18,模拟设备信号
城心天街-地下美食街,B1,foodcourt,weekend,17-20,307,56,14.2,0.29,模拟设备信号
城心天街-地下美食街,B1,corridor,weekday,20-22,69,12,7.5,0.34,模拟设备信号
老城步行街-2F,2F,exit,weekend,17-20,122,24,6.3,0.17,模拟设备信号
